Period,Dynasty,Reign
pre-Angkor period,,
Mon-Dvaravati period,,
late Kushan period,,
Gupta period (4th–6th century),,
late Gupta period,,
Hepthalite or Turkic period,,
Ikshvaku period,,
Ikshvaku period (ca. 225–ca. 320),,
Ikshvaku,,
Shahi period,,
Sailendra dynasty,,
probably Central Javanese period,,
Indus civilization,,
Licchavi period,,
Pagan period,,
probably Pagan period,,
early Malla period,,
Licchavi–Thakuri periods,,
Thakuri–Early Malla periods,,
Thakuri periods,,
Early Malla period,,
Malla period,,
Hoysala period,,
Nayaka period,,
Solanki period,,
"Eastern Javanese period, Majapahit kingdom",,
Pala-Sena period,,
Divided Kingdoms period (1232–1597),,
Khmer,,
Anuradhapura period,,
late Kushan dynasty,,
late Chalcolithic–early Historic period,,
late Gupta,,
Modern,,
Ayutthaya period,,
Shunga–Kushan period,,
Pallava period,,
Arakan period,,
Sailendra style,,
late Javanese period,,
late Eastern Javanese period,,
"Angkor period, Khmer style of the Baphuon",,
Sukhothai or Lan Na style,,
late Pala dynasty,,
Srivijaya period,,
late Harrapan period,,
Chalukyan period,,
"post–Gupta period, later Sarnath style",,
"Eastern Javanese period, Singasari kingdom",,
Early Polonnaruva period,,
Khmer-Shrivijaya style,,
Pallava or early Chola period (880–1279),,
Vijayanagar period,,
Thakuri dynasty,,
late Sukhothai period,,
"Ming dynasty (1368–1644), Yongle mark and period (1403–24)",,
"Ming dynasty (1368–1644), Yongle period (1403–24)",,
Muromachi period (1392–1573),,
Three Kingdoms period (57 B.C.–A.D. 676),,
"Three Kingdoms period, Gaya Federation (42–562)",,
"Three Kingdoms period, Silla Kingdom (57 B.C.–A.D. 676),",,
"Three Kingdoms (57 BC–AD 668) Gaya Federation, Great Gaya",,
Three Kingdoms period (57 B.C.–A.D. 668),,
Kaya Federation (42–562),,
"Three Kingdoms period, Silla Kingdom (57 B.C.–A.D. 676)",,
Unified Silla dynasty (676–935),,
"South and North Kingdoms period, Unified Silla (676–935)",,
"South and North Kingdoms period (676–935), Unified Silla",,
Silla Kingdom (57 B.C.–A.D. 676),,
Southern Song (1127–1279)–Yuan (1271–1368) dynasty,,
Western Han dynasty (206 B.C.– A.D. 9),,
"Qing dynasty (1644–1911), Qianlong mark and period (1736–95)",,
late Northern Song (960–1127)–Jin (1115–1234) dynasty,,
"Ming dynasty (1368–1644), Jiajing period (1522–66)",,
"Qing dynasty (1644–1911), Yongzheng period (1723–35)",,
"Ming dynasty (1368–1644), Zhengde mark and period (1506–21)",,
Southern Tang dynasty (937–76),,
Five Dynasties (907–960) or Northern Song (960–1127) dynasty,,
Late Yuan (1271–1368) or early Ming (1368–1644) dynasty,,
early Edo period (1615–1868),,
Northern Qi dynasty (550–577),,
Edo (1615–1868),,
Taishō period (1912–26),,
Ming (1368–1644)–Qing dynasty (1644–1911),,
Late Yuan (1271–1368) or early Ming (1368–1644) dynasty),,
Han dynasty (206 B.C.–A.D. 220),,
Eastern Zhou dynasty (770–256 B.C.),,
Five Dynasties (907–960),,
Middle Jōmon period (ca. 3500–2500 B.C.),,
Momoyama period (1573–1615),,
"Ming dynasty (1368–1644), Xuande mark and period (1426–35)",,
Northern Song dynasty (960–1127),,
Edo (1615–1868) or Meiji period (1868–1912),,
Western Han dynasty (206 B.C.–24 A.D.),,
"Ming dynasty (1368–1644), Wanli period (1573–1620)",,
Southern Song dynasty (1127–1271),,
late Tang (618–907)–Song (960–1279) dynasty,,
Shōwa period (1926–89) or Heisei period (1989–2019),,
Eastern Han dynasty (25–200),,
Eastern Han dynasty (25–220),,
possibly Eastern Han dynasty (25–220),,
"Qing dynasty (1644–1911), Daoguang period (1821–50)",,
late Song (960–1279) or early Yuan (1271–1368) dynasty,,
Jin dynasty (1115–1234),,
late Tang (618–907)–early Song (960–1279) dynasty,,
Northern Qi dynasty,,
Northern Wei dynasty (386–534),,
"Eastern Zhou dynasty, (770–256 B.C.)",,
Song (960–1279)–Yuan (1271–1368) dynasty,,
Jin (1115–1234)–Yuan (1271–1368) dynasty,,
"Qing dynasty (1644–1911), Kangxi period (1662–1722)",,
"Qing dynasty (1644–1911), Kangxi mark and period (1662–1722)",,
Khotan Kingdom,,
Song (960–1279)–Qing (1644–1911) dynasty,,
Northern Song (960–1127) or Jin (1115–1234) dynasty,,
Northern Song dynasty (960–1127,,
late Qing dynasty (1644–1911) or early Republic period (1912–49),,
Bronze Age period,,
"Neolithic period, Majiayao culture (ca. 3300–2050 B.C.)",,
"Neolithic period, Majiayao culture, Banshan phase",,
"Southern Song, Yuan or early Ming dynasty",,
Late Bronze Age (ca. 15th–ca. 3rd century B.C.),,
Yuan (1271–1368) to Ming (1368–1644) dynasty,,
late Central Javanese period,,
Southern Song (1127–1279) to Yuan (1271–1368) dynasty,,
Yuan (1271–1368)–early Ming (1368–1644) dynasty,,
Yuan (1271–1368) to early Ming (1368–1644) dynasty,,
early Ming dynasty (1368–1644),,
probably mid- to late Ming dynasty (1368–1644),,
"Neolithic, Majiayao culture, Machang phase",,
"Neolithic period, Majiayao culture, Machang phase",,
"Ming dynasty (1368–1644), Xuande period (1425–36)",,
late Jin (1115–1234)–early Yuan (1271–1368) dynasty,,
Song (960–1279–Yuan (1271–1368) dynasty,,
"Ming dynasty (1368–1644), Wanli mark and period (1573–1620)",,
Yuan (1271–1368)–Ming dynasty (1368–1644),,
late Ming (1368–1644) or early Qing (1644–1911) dynasty,,
Probably modern,,
"Khotan kingdom, Dandan Uilik",,
Momoyama (1573–1615)–early Edo (1615–1868) period,,
Sui dynasty (581–618),,
Eastern Wei dynasty (534–550),,
Northern Dynasties (386–581),,
Qing dynasty  (1644–1911),,
Ming dynasty  (1368–1644),,
Muromachi (1392–1573)–Edo period (1615–1868),,
"Box: Edo period (1615–1868), 18th century; Mirror: Kamakura period (1185–1392)",,
Momoyama period (1573–1615) or Edo period (1615–1868),,
Edo period (1615–1868) or Meiji period (1868–1912),,
Late Ming (1368–1644) to early Qing (1644–1911) dynasty,,
Late Ming (1368–1644) to early Qing dynasty (1644–1911),,
"Qing dynasty (1644–1911, Jiaqing period (1796–1820)",,
"Qing dynasty (1644–1911), Jiaqing period (1796–1820)",,
"Qing dynasty (1644–1911), late Qianlong period (1736–95)",,
Qing dynasty (1644–1911) (1644–1911),,
"Ming dynasty (1368–1644), Tianqi period (1621–27)",,
"Ming dynasty (1368–1644), Xuande period (1426–35)",,
Song dynasty (960–1279) or later,,
Ming dynasty (1368–1644) or earlier,,
Nomad,,
"Qing dynasty (1644–1911), Jiaqing mark and period (1796–1820)",,
Qing dynasty,,
"Qing dynasty (1644–1911), Daoguang mark and period (1821–50)",,
Ming Dynasty (1368–1644),,
late Qing dynasty (1644–1911),,
"Qing dynasty (1644–1911), Qianlong period (1736–95) or earlier",,
"Kangxi or Qianlong periods (1662–1722, 1736–95)",,
early Republic period (late 19th–early 20th century),,
"Qing dynasty (1644–1911), Qianlong period  (1736–95)",,
Qing dynasty (1644–1911,,
"late Qing dynasty (1644–1911, early Republic period (1912–49)",,
late Southern Song (1127–1279)-early Yuan (1271–1368) dynasty,,
Late Ming (1368–1644)–early Qing (1644–1911) dynasty,,
late Tang dynasty (618–907),,
Shang dynasty (ca. 1600–1046 B.C.),,
late Ming dynasty (1368–1644)–early Qing dynasty (1644–1868),,
"Qing dynasty, late Kangxi (1662–1722)–Yongzheng (1723–35) period",,
"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",,
"Qing dynasty (1644–1911), Kangxi period (1662–1722",,
"Qing dynasty (1644–1911), Kangxi mark and period (1622–1722)",,
late Ming (1368–1644)– early Qing (1644–1911 dynasty,,
Eastern Jin dynasty (317–420),,
Western Jin dynasty (265–316),,
"Ming dynasty (1368–1644), Chongzhen period (1628–44)",,
"Qing dynasty (1644–1911), Shunzhi (1644–61) period",,
Six Dynasties (220–589),,
"Six Dynasties (220–589), Western Jin (265–316) dynasty",,
probably Sui dynasty (581–618),,
late Western Han (206 B.C.–A.D. 9)–Eastern Han (25–220) dynasty,,
Northern Dynasties (386–581)–Sui (581–618) dynasty,,
Northern Qi (550–577)–Sui (581–618) dynasty,,
"Ming dynasty (1368–1644), Shunzhi period (1644–61)",,
"Ming dynasty (1368–1644), Transitional period",,
"Qing dynasty (1644–1911), Shunzhi (1644–61)–Kangxi (1662–1722) period",,
"Qing dynasty (1644–1911), Shunzhi period (1644–61),",,
late Northern Song dynasty (960–1127),,
Jin dynasty 1115–1234),,
late Northern Song (960–1127)–Jin dynasty (1115–1234),,
Northern Song (960–1127) to Southern Song (1127–1279) dynasty,,
probably Jin dynasty (1115–1234),,
late Yuan dynasty (1271–1368),,
"Ming dynasty(1368–1644), Xuande mark and period (1426–35)",,
"Ming dynasty (1368–1644), Chenghua period (1465–87)",,
"Ming dynasty (1368–1644), Chenghua mark and period (1465–87)",,
"Ming dynasty (1368–1644), Hongzhi mark and period (1488–1505)",,
"Ming dynasty (1368–1644), Zhengde period (1506–21)",,
"Ming dynasty (1368–1644), Jiajing mark and period (1522–66)",,
"Ming dynasty (1644–1368), probably Jiajing period (1522–66)",,
early Qing dynasty (1644–1911),,
Late Momoyama (1573–1615)–early Edo period (1615–1868),,
"Neolithic period, Shandong Longshan culture",,
Sui (581–618) or early Tang (618-907) dynasty,,
Northern Wei period (386–534),,
possibly Northern Song dynasty (960–1127),,
Five Dynasties (907–60) or Liao dynasty (907–1125),,
Neolithic to Shang dynasty (ca. 1600–1046 B.C.),,
Neolithic period--Shang dynasty (ca. 1600–1046 B.C.),,
Shang (ca. 1600–1046 B.C.) or Western Zhou (1046–771 B.C.),,
Western Han dynasty (206 B.C–A.D. 9),,
Zhou dynasty (1046–256 B.C.),,
Shang (ca. 1600–1046 B.C.)–Western Zhou dynasty (1046–771 B.C.),,
Shang (ca. 1600–1046 B.C.)–Western Zhou dynasty (1046–771 B.C.,,
Shang (ca. 1600–1046 B.C.)–(Western Zhou dynasty (1046–771 B.C.),,
Shang (ca. 1600–1046 B.C.)—Western Zhou dynasty (1046–771 B.C.),,
pre-Han dynasty (before 206 B.C.–A.D. 220),,
Western Han dynasty (206 B.C.—A.D. 9),,
Han dynasty (206 B.C.–A.D. 220) or later,,
Shang (ca. 1600–1046 BCE)–Western Zhou dynasty (1046–771 BCE),,
Late Qing dynasty (1644–1911),,
Yuan (1279–1368) to Ming (1368–1644) dynasty,,
"Qing dynasty (1644–1911), Qianlong period (1736–95) or later",,
After the style of the Zhou dynasty (1046–256 B.C.),,
Pre-Columbian period,,
Prehistoric,,
Neolithic to Shang dynasty (ca. 1600-1046 B.C.),,
Ming dynasty (1368–1644) or after,,
before Ming dynasty (1368–1644),,
late Yuan (1271–1368) to early Ming (1368–1644) dynasty,,
"Qing dynasty (1644–1911),",,
early Western Zhou dynasty (1046–771 B.C.),,
Neolithic period,,
Warring States period (ca. 481 – 221 B.C.),,
Eastern Han (25–220)–Western Jin (265–316) dynasty,,
Jin (1115–1234)–Yuan dynasty (1279–1368),,
Southern Dynasties (420–589),,
Sui (581–618)–Tang (618–907) dynasty,,
Jin dynasty (265–420),,
Neolithic period to Ming dynasty (1368–1644),,
Three Kingdoms period (220–280),,
late Warring States (475–221 B.C.)–Western Han (206 B.C.),,
"Neolithic period, Liangzhu culture (ca. 3200–2000 B.C.)",,
Tang  (618–907) or Song (960–1279) dynasty,,
"Neolithic period, Majiayao culture, Banshan-Machang type",,
Neolithic (ca. 3300–2500 B.C.) Majiaoyao phase (3200–2650 B.C.),,
"Neolithic period, Majiayao culture, Machang type",,
"Neolithic period, Xindian culture",,
"Six Dynasties, late Northern Dynasties (557–581)",,
Kofun period (ca. 300–710),,
late Edo (1615–1868)–early Meiji (1868–1912) period,,
Western Zhou dynasty (1046–771 BCE),,
Warring States– Western Han dynasty,,
"Qing dyasty (1644–1911), Qianlong period (1736–95)",,
late Ming (1368–1644)– early Qing (1644–1911) dynasty,,
Qing dynasty (1644–1911) Kangxi period (1662–1722),,
"Neolithic, Aeneolithic culture, Xindian phase",,
"Neolithic, Majiayao Yangshao, Machang phase",,
"Ming dynasty (1368–1644), Jingtai period (1450–56)",,
"Han dynasty (206 B.C.–A.D. 220), late Dawenkou culture",,
"Neolithic, Majiayao culture, Banshan phase",,
"Neolithic, Majiayao Yangshao, Banshan phase",,
Jin (1115–1234) or Yuan (1271–1368) dynasty,,
"Three Kingdoms period, Gaya federation (42–562)",,
Shang (ca. 1600–1046 B.C.)–Western Zhou (1046–771 B.C.) dynasty,,
"Eastern Zhou dynasty,  Warring States period (475–221 B.C.)",,
early Eastern Han dynasty (25–220),,
Kizil kingdom,,
Northern Wei (386–534)–Northern Qi (550–77) dynasty,,
Northern Wei (386–534)–Northern Qi (550–577) dynasty,,
"Three Kingdoms period, Silla kingdom (57 B.C.–A.D. 676)",,
Late Jōmon period (ca. 2500–1000 B.C.),,
Final Jōmon period (ca. 1000–300 B.C.),,
Late Jōmon period (ca. 1500–1000 B.C.),,
Yayoi period (ca. 300 B.C.–ca. A.D. 300),,
Yayoi period (ca. 300 B.C.–A.D. 300),,
Middle Jomon period (ca. 3500–2500 B.C.),,
Nara period (710–794),,
Momoyama (1573–1615)– Edo (1615–1868) period,,
possibly Song dynasty (960–1279),,
late Momoyama (1573–1615) or early Edo (1615–1868) period,,
Momoyama (1573–1615) or Edo (1615–1868) period,,
late Edo (1615–1868) or Meiji (1868–1912) period,,
"Three Kingdoms period, Silla Kingdom (57 B.C.–A.D. 676) or Gaya Federation (A.D. 42–562)",,
Eastern Zhou (770–256 B.C.)–Western Han (206 B.C.–A.D. 9),,
Shōwa period (1926–1989),,
Meiji (1868–1912)–Taishō  (1912–26) period,,
late Heian period (ca. 900–1185),,
"Nanbokuchō (1336–92) or Muromachi (1392–1573) period,",,
Momoyama (1573–1615)–Edo period 1615–1868),,
Visnukundin,,
Late Jomon period (ca. 1500–1000 B.C.),,
Middle Jomon period (2500–1500 B.C.),,
Final Jōmon period (ca. 1000–300 B.C.) or later,,
Nanbokuchō (1336–92)–early Muromachi period (1392–1573),,
Edo (1615–1868) or Meiji (1868–1912) period,,
Kamakura (1185–1333)–Nanbokuchō period (1336–92),,
Heian (794–1185) or Kamakura (1185–1333) period,,
Edo (1615–1868)–Meiji (1868–1912) period,,
Yuan dynasty  (1271–1368),,
Yuan (1271–1368),,
Edo (1615–1868)–Meji period (1868–1912,,
Yuan (1271–1368) or Ming dynasty (1368–1644),,
Muromachi period (1392–1573) or Momoyama period (1573–1615),,
Edo period (1644–1911),,
Tang dynasty (618-907),,
"Qing dynasty, late Yongzheng (1723–35)–early Qianlong (1736–95)",,
Northern Qi (550–577)–Sui (581–619) dynasty,,
Qing dynasty (1644-1911),,
"Ming dynasty (1368–1644), Yongle Period (1403–24)",,
"Qing dynasty (1644–1911), Tongzhi period (1862–74)",,
Six Dynasties (222–589),,
"Qing dynasty (1644-1911), Yongzheng period (1723-35)",,
"Qing dynasty (1644–1911), Daoguang  period (1821–50)",,
Edo period  (1615–1868),,
"Qing dynasty (1644–1911), Daoguang period (1821-50)",,
"Qing dynasty (1644–1911),  Daoguang period (1821-50)",,
Momoyama (1573–1615) or Edo period (1615–1868),,
style of Tang dynasty (618–907),,
"Qing dynasty (1644–1911), Qianlong  period (1736–95)",,
Late Edo (1615–1868) or early Meiji (1868–1912) period,,
"Qing dynasty (1644–1911), Qianlong period (1736–95",,
Yongzheng period (1723–35),,
"Qing dynasty (1644–1911),  Kangxi period (1662–1722)",,
"MIng dynasty (1368–1644), Wanli period (1573–1620)",,
"Ming dynasty (1368–1644),",,
Style of Song dynasty (960–1279),,
"Ming dynasty (1368–1644), Hongzhi period (1488–1505)",,
Sui (581–618)–early Tang (618–907) dynasty,,
Southern Song dynasty (1127-1279),,
Eastern Han dynasty (25-220),,
"Ming dynasty (1369–1644), Wanli period (1573–1620)",,
Song dynasty (960–1279) or earlier,,
Sui dynasty (581–619),,
"Ming dynasty (1368–1644), probably Wanli period (1573–1620)",,
"Qing dynasty (1644–1911), early Kangxi period (1662–1722)",,
"Qing dynasty (1644–1911), Yongzheng (1723–35)–Qianlong (1736–95)",,
Song Dynasty (960–1279),,
"Qing dynasty (1644–1911), probably Qianlong period (1736–95)",,
"Qing dynasty (1644–1911), Qianlong periiod (1736–95)",,
Ming (1368–1644)–early Qing (1644–1911) dynasty,,
"Eastern Zhou dynasty, Warring States period (475–221 B.C)",,
probably Ming dynasty (1368–1644),,
"Ming dynasty (1368–1644), Tianqi mark and period (1621–27)",,
Late Yayoi period (ca. 4th century B.C.–3rd century A.D.),,
Early Nara period (646–710),,
"Qing dynasty (1644–1911), Kangxi  period (1662–1722)",,
Neolithic period–Shang dynasty (ca. 1600–1046 B.C.),,
"Neolithic, Dawenkou culture (ca. 2800–2400 B.C.)",,
Early Western Zhou dynasty (1046–771 B.C.),,
Shang (ca. 1600–1046 B.C.) to  Western Zhou (1046–771 B.C.) dynasty,,
Eastern Zhou dynasty  (770–476 B.C.),,
Han (dynasty (206 B.C.–A.D 220) to Six Dynasties (220–589),,
Xiongnu culture,,
"Eastern Zhou dynasty, Warring States period (475–221 B.C.)–Western Han (206 B.C–A.D. 9) dynasty",,
Eastern Zhou dynasty (770--256 B.C.),,
"Eastern Zhou dynasty, Warring States period (475–221 B.C.)–Western Han (206 B.C.–A.D. 9)",,
"Eastern Zhou dynasty, Warring States period (475–221 BCE)",,
"Eastern Zhou dynasty, Warring States period (475–221 B.C.) to Western Han dynasty (206 B.C.-A.D. 9)",,
"Eastern Zhou dynasty, Spring and Autumn period (770–476 B.C.)",,
"Eastern Zhou dynasty, Warring States period (470–221 B.C.)–Western Han dynasty (206 B.C.–A.D. 9)",,
"Eastern Zhou dynasty, Warring States period (475–221 B.C.–Western Han dynasty (206 B.C.–A.D. 9)",,
late Western Han (206 B.C.–A.D. 9)–early Eastern Han (25–220),,
Uyghur kingdom,,
Kizil Kingdom,,
Eastern Javanese or Balinese period,,
Song (960–1279) or Yuan (1271–1368) dynasty,,
early Eastern Javanese period,,
Proto–classical period,,
Protoclassic period,,
Pyu period,,
"Qing dynasty (1644–1911), Guangxu period (1875–1908)",,
"Qing dynasty (1644–1911), Shunzhi period (1644–61)",,
"Neolithic period, Xindian phase",,
Northern Dynasties (386–581)–Sui (581–618),,
Proto–classical or Central Javanese period,,
"late Ming dynasty (1368–1644), Transitional period",,
"Ming dynasty (1368–1644), Tianqi mark and period (1621–1627)",,
"Ming dynasty (1368–1644), Chongzhen period",,
Eastern Javanese period or later,,
Tribal period,,
"Qing dynasty (1644–1911), probably Kangxi period (late)",,
"Edo period (1615–1868), Kanei era (1624–43)",,
late Edo period (1615–1868)–early Meiji period (1868–1912),,
late Eastern Han (25–220)–early Six Dynasties (220–589),,
Late Jōmon (ca. 1500–1000 B.C.),,
Yayoi period (ca. 300 B.C–ca. A.D. 400),,
Yayoi period (ca. 300 B.C.–300 A.D.),,
Kofun (ca. 300–710)–Nara (710–794) period,,
late Muromachi period (1392–1573),,
early Goryeo dynasty (918–1392),,
"early Edo period (1615–1868), Kanei era (1624–43)",,
late Goryeo dynasty (918–1392)–early Joseon dynasty (1392–1910),,
Hongxian mark and period (1915–16),,
late Song dynasty (960–1279),,
"Six Dynasties (220–589), late Western–early Eastern Jin period",,
late Central or early Eastern Javanese period,,
late Southern Song (1127–1279)–Yuan (1271–1368) dynasty,,
late Southern Song (1127–1279)–early Yuan (1271–1368) dynasty,,
"Six Dynasties (220–589), Eastern Jin dynasty (317–420)",,
late Eastern Jin (317–420)–early Southern Song (420–479) dynasty,,
"late Ming Dynasty (1368–1644), Tianqi period (1621–27)",,
"Qing dynasty (1644–1911),Yongzheng mark and period (1723–35)",,
"Qing dynasty (1644–1911), Yongzheng–Qianlong (1723–95) period",,
Qing dynasty (1644–1911) or Republic period (1912–1949),,
Southern Song (960–1279)–Yuan (1271–1368) dynasty,,
"Qing dynasty (1644–1911), Qianlong period (1736–1795)",,
"Qing dynasty (1644–1911), Daoguang period (1820–50)",,
"China, Qing dynasty (1644–1911)",,
"Qing dynasty (1644–1911), Tongzhi mark and period (1862–74)",,
"Southern Song (1127–1279)–Yuan (1271–1368) dynasty, or later",,
Southern Song (1127–1278)–Yuan (1271–1368) dynasty,,
"Neolithic period, Longshan culture (2400–1900 B.C.)",,
Song (960–1279)–Ming (1368–1644) dynasty,,
probably Yuan dynasty (1271–1368),,
Song dynasty  (960–1279),,
Qing (1644–1911) dynasty,,
Ming (1368–1644) dynasty,,
Song (960–1279) or Qing (1644–1911) dynasty,,
late Ming dynasty  (1368–1644),,
Early Ming dynasty (1368–1644),,
probably Qing dynasty (1644–1911),,
20th century,,
Tang (618–907) or Song dynasty (960–1279),,
Ming dynasty (1368-1644),,
Five Dynasties (907–960)–early Song (906–1279) dynasty,,
Yuan (1271–1368)–Qing dynasty  (1644–1911),,
Muromachi period (1336–1573),,
Yuan dynasty (1271–1368) or earlier,,
Qing dynasty (1644–1911) or Modern,,
Qin–Han dynasty (221 B.C.–A.D. 220),,
Han dynasty (206 B.C.–220),,
"Eastern Han dynasty (25–220), Xianbei culture",,
late Zhou (1046–256 B.C.) or Han (206 B.C.–A.D. 220) dynasty,,
mid-Western Zhou dynasty (1046–771 B.C.),,
middle Edo period (1615–1868),,
late Edo period (1615–1868),,
Song (960–1279) or Jin (1115–1234) dynasty,,
probably Han dynasty (206 B.C.–A.D. 220),,
Northern Wei dynasty (386-534),,
Six Dynasties period (220–589),,
Northern (960–1127) to Southern Song (1127–1279),,
Xixia dynasty (1032–1227),,
Shang dynasty (ca. 1500–1046 B.C.),,
Southern Song (1127–1279)–Yuan (1271–1368),,
Jin (1115–1234)–Yuan (1271–1368) dynastty,,
"Qing dynasty (1644–1911), Yongzheng period (1723–36)",,
Nanbokuchō (1336–92) or Muromachi period (1392–1573),,
"Ming dynasty (1368–1644), Hongzhi period  (1488–1505)",,
"Ming dynasty (1368–1644), late Wanli period (1573–1620)",,
"Qing dynasty (1644–1911), Yongzheng period  (1723–35)",,
"Qing dynasty (1644–1911), early Qianlong period (1736–95)",,
"pre-Ming, possibly Song (960–1279)–Yuan (1271–1368) dynasty",,
Ming (1368–1644)– Qing dynasty (1644–1911),,
Ming (1368–1644) to Qing dynasty (1644–1911),,
"Jomon period (ca. 10,500 B.C.–ca. 300 B.C.)",,
Kofun period (ca. 3rd–7th century),,
Asuka period (538–710),,
Heian period (ca. 900–1185),,
Kamakura (1185–1333)–Nanbokuchō (1336–92) period,,
Five Dynasties period (907–60),,
Muromachi (1392–1573),,
Middle period–Late period,,
Early period–Late period,,
Bronze and lron Age period,,
Middle period– Late period,,
Middle–Late period,,
Early– Late period,,
late Eastern Zhou dynasty (770–256 B.C.),,
middle Yayoi period (ca. 100 B.C.–A.D. 100),,
Muromachi (1392–1573)–Momoyama (1573–1615) period,,
Qing dynasty (1644–1911). Kangxi period (1662–1722),,
early Batak,,
Wuyue kingdom (907–78),,
Western Wei dynasty (535–557),,
Nanbokuchō (1336–92)–Muromachi (1392–1573) period,,
early Meiji period (1868–1912),,
Edo period (1615–1868)Vertical ōban;,,
Edo (1615–1868)–Meiji period (1868–1912),,
Meiji (1868–1912) and Taishō (1912–26) period,,
Meiji (1868–1912) or Taishō (1912–26) period,,
Meiji (1868–1912)–Taishō (1912–26) period,,
Mughal period,,
Mughal period (1526–1858) or Qing dynasty (1644–1911),,
Mughal period (1526–1858,,
Mughal period (1526–1858),,
Timurid period (1370–1507),,
Middle Chunqiu Era,,
"Shōwa period (1929–89), 1940",,
Late Edo (1615–1868) or Meiji (1868–1912) period,,
Meiji Period (1868–1912),,
early Joseon dynasty (1392–1910),,
Late Goryeo (918–1392)–early Joseon (1392–1910) dynasty,,
Modern period,,
probably Goryeo dynasty (918–1392),,
Unified Silla (676–935) or Goryeo (918–1392) dynasty),,
"Three Kingdoms period, Silla Kingdom (57 B.C.–A.D. 676), 3rd–4th century",,
"Three Kingdoms period, probably Gaya Federation (42–562)",,
Late Unified Silla dynasty (676–935),,
Meiji period (1868-1912),,
Edo (1615–1868)–Shôwa period (1926–89),,
late Edo (1615–1868)–early Meiji (1867-1912) period,,
Meiji period (1869–1912),,
Edo period (1615–1868,,
late Edo (1615–1868) or early Meiji (1868–1912) period,,
Western Zhou (1046–771 B.C.)–Eastern Zhou (770–256 B.C.) dynasty,,
Edo period (1615–1868)–Meiji period (1868–1912),,
Edo perid (1615–1868),,
Meiji (1868–1912) or Taishō period (1912–26),,
Eastern Zhou (770–256 B.C.),,
Thracian period,,
Scythian or Thracian period,,
"Western Han dynasty (206 B.C.–A.D. 9), Dian culture",,
Edo period(1615–1868),,
Edo (period 1615–1868),,
"Qing dynasty (1644–1911)), Qianlong period (1736–95)",,
"Indus civilization, Mehrgarh style",,
Yuan dynasty (1279—1368),,
Tang dynasty (618—907),,
late Zhou (1046–256 B.C.)–early Han (206 B.C.–A.D. 220) dynasty,,
